Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,15.23,0,0
50000,34074.7,83.29052979118299,97.990036,180.006027,22.7482,0.05819355459085086,7.511999999999972
75000,74988.5,89.85624743683327,113.964081,202.894211,23.568399999999997,0.05452428779162275,11.486000000000004
100000,100020.5,95.15451204107153,127.077103,216.007233,24.399,0.07223120474404052,12.692000000000007
125000,125000.8,99.42998216201035,142.097473,234.127045,25.223200000000002,0.0645372855370428,19.14399999999999
200000,200111.4,114.0466966409988,167.131424,270.12825,27.1246,0.09587853710581427,33.83
225000,150781.4,119.1609356709346,174.045563,282.049179,27.7454,0.12994834138445716,38.95799999999999
250000,167437.3,124.31834734410653,184.059143,304.86583740000106,28.230799999999995,0.14059407483087968,43.98400000000001
300000,300116.3,139.207646234164,208.854675,372.81513240000106,28.909999999999997,0.22293039089292763,54.58000000000001
325000,325041.2,148.69745439930927,223.875046,428.915024,29.219999999999995,0.2656297868716335,59.374
350000,349969.9,157.61126734822795,236.988068,491.46413819999793,29.741999999999997,0.31530354665086185,63.424
400000,399874.1,177.82346410468662,262.022018,619.1706658099995,30.739199999999997,0.5115516212705125,71.044
425000,425063.8,191.18965727570773,278.949738,810.6708526000027,31.339999999999996,0.509669761027788,74.366
450000,450069.2,207.68959381583193,298.976898,1102.9434204900037,32.1046,0.4521116441494408,76.908
475000,474943.7,250.67013103343507,344.991684,2055.630683779976,32.8002,0.5299499013672742,79.624
500000,499949.3,343.75300145652324,463.008881,3872.5686074300183,33.2778,0.5482301393705803,82.082
