Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
50000,50019.9,103.97045211010193,104.904175,147.104263,33.7248,0.23339761990986957,4.725999999999999
75000,75010.4,104.27531923063333,104.904175,148.057938,35.7578,0.23517505420951662,7.3419999999999845
100000,99979.9,106.55776325157689,103.9505,146.87061335999925,37.565799999999996,0.2084940169454286,10.28200000000001
125000,124987.4,113.00388879502323,108.957291,154.972076,39.1744,0.20879792007721562,13.367999999999995
150000,149929.6,109.46252233735171,111.103058,152.20403627999812,40.757999999999996,0.2499306026129038,17.641999999999996
175000,174989.2,107.93042463797156,113.010406,156.164169,42.331199999999995,0.14842905265974513,20.610000000000014
200000,200015.4,104.77526297943122,115.871429,159.978867,43.70700000000001,0.2261140221667119,25.295999999999992
225000,224936.9,114.98853166198886,118.017197,162.83989,45.09840000000001,0.2533478692571596,30.262
250000,249983.7,120.02524350869926,121.116638,172.85347,46.436800000000005,0.21721277069984152,34.08
300000,299962.2,119.70459058500431,127.077103,187.87384,48.8046,0.24046901450867916,40.96799999999999
325000,324986.0,127.48296846929979,131.130219,192.8019519499996,49.897000000000006,0.24296846188217114,44.818000000000005
350000,349934.9,130.28224109881074,134.944916,216.007233,50.76839999999999,0.2582465204143566,48.897999999999996
375000,375030.6,132.29065486866324,138.998032,245.094299,51.958600000000004,0.30069314482864223,52.871999999999986
400000,399937.3,135.71206090483312,142.097473,285.148621,52.7068,0.2518457577849698,57.848
425000,424855.0,138.72539757133634,149.011612,372.87712075999804,53.475,0.37781460738174283,62.95799999999999
450000,449925.2,161.4301973423026,166.17775,621.8576429400005,53.9912,0.36243304800433773,66.838
475000,474913.2,181.30398212498463,200.033188,1145.195960599999,54.5842,0.2062798772423088,70.71600000000001
500000,499825.0,291.72083093779605,360.965729,3534.5983502600016,54.772999999999996,0.24325387762498618,72.3
525000,524978.3,586.1998019925167,1123.905182,12051.105499,55.087399999999995,0.23683120657582932,74.272
550000,549947.5,997.9231623575519,2520.656585800002,14464.750289880001,55.2332,0.25959497495215134,75.842
