Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
50000,50063.2,101.08807787059698,105.857849,153.85389357999946,33.787600000000005,0.215089539969013,4.826000000000008
75000,75043.9,107.82601189777262,106.096268,152.111053,35.988,0.23502496610759785,7.38600000000001
100000,99952.3,107.04624761772882,109.910965,158.071518,37.781800000000004,0.12688883130600587,10.198000000000008
150000,149989.4,116.11089504342141,123.977661,169.038773,40.99980000000001,0.1682259170986249,16.21599999999998
175000,175007.6,116.0616711793952,129.938126,182.86705,42.453,0.1910791053197494,20.116
200000,199965.4,116.58427185098746,129.938126,185.966492,43.96240000000001,0.17991562648380785,23.391999999999996
225000,224825.0,120.58356878091556,133.037567,194.072723,45.4284,0.21895260879459602,27.336
250000,249945.3,126.0576751751044,130.8918,217.914581,46.638999999999996,0.28573035669087343,31.201999999999998
300000,300006.8,137.55809452003624,138.998032,252.962112,49.1558,0.3283669550104835,40.18
325000,324975.1,133.963221053448,144.958496,304.4033050000022,50.355599999999995,0.28163632650665565,44.894
350000,350104.7,134.4312056982342,149.965286,321.865082,51.40959999999999,0.277841240822958,50.06400000000001
375000,375067.3,155.6405010817714,161.170959,400.781631,52.15699999999999,0.25902682864750487,55.016000000000005
400000,399886.6,148.1929353369428,162.124634,411.03363,53.06100000000001,0.24371487188005186,60.036
425000,425044.9,168.70690441962137,180.959702,624.895096,53.8248,0.22241017448463446,64.564
450000,450010.9,180.68248654290804,209.093094,877.1157269099998,54.4442,0.27609588692247905,69.06
475000,475083.6,212.60894562404957,276.088715,1451.3635634000102,54.6766,0.5144706413550983,72.258
500000,500031.7,333.2798626636433,517.845154,3718.7957763999884,54.979,0.28575178325367073,75.12
525000,525073.4,515.5234757680574,1106.023788,7679.138183839997,55.25399999999999,0.22180152922680052,77.01400000000001
550000,550184.2,771.5279298545304,1781.0821532000004,12242.670059040009,55.434200000000004,0.32564592014352406,78.85000000000001
