Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
50000,50044.7,101.92834791070419,102.996826,145.91217,33.7128,0.20551617444664488,4.6899999999999835
75000,74976.3,107.11509809620117,104.904175,148.057938,35.7224,0.2806083769677762,7.795999999999992
100000,100008.8,106.69130791965166,106.811523,154.018402,37.3152,0.45485696338833553,9.897999999999996
125000,125001.0,108.57345411264752,108.003616,152.826309,39.1822,0.1325309359341884,12.566000000000003
150000,149985.6,112.63800939405648,110.864639,153.779984,40.6618,0.21192692232975777,15.808000000000007
175000,174946.8,106.24976665868493,108.003616,147.104263,42.1496,0.2933616560228858,18.531999999999996
200000,199879.0,110.0550476975783,113.010406,156.164169,43.422799999999995,0.32312277315381566,28.13199999999999
225000,224944.3,107.32480449580183,113.964081,164.031982,44.98480000000001,0.19068341109101714,29.141999999999996
250000,250010.4,116.59564692047877,123.023987,196.933746,46.1038,0.2954062577923104,29.842
300000,299877.4,118.42103751197651,121.116638,176.906586,48.7738,0.20063053667101088,37.81800000000001
325000,324946.3,122.27210174173653,125.169754,187.87384,49.848800000000004,0.26157014121552613,45.76
350000,350058.1,134.19280650358638,129.938126,218.65367919999792,50.67320000000001,0.19175281707746195,48.645999999999994
375000,375044.1,134.48109065906434,135.89859,314.9032592999972,51.6272,0.19687393666703432,51.386
400000,399912.7,146.66944302799237,148.057938,466.108322,52.471199999999996,0.27577453079777786,55.46000000000001
425000,425128.8,146.48064669503418,154.018402,632.1811674999994,53.023,0.3262667620215089,59.332
450000,449876.7,154.71126486601605,155.925751,724.5564458499987,53.851400000000005,0.2621808847466391,64.08
475000,475055.6,204.06302481751055,199.079514,1831.321716719999,54.492999999999995,0.23483602616224256,68.498
500000,499867.4,320.8906581928061,402.0452497000007,4510.3836060199965,54.738600000000005,0.2390970258181851,71.012
525000,524912.4,546.6962236459386,1021.86203,9147.427082100003,54.96020000000001,0.2109501343532953,73.074
550000,549969.1,1005.2132189054536,2526.99852,14812.641143559984,55.03799999999999,0.3196937309874136,74.668
