Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
50000,50017.6,107.46935104974438,112.056732,156.879425,30.166938775510204,1.9922361850460413,6.351020408163265
75000,75004.1,111.88844514364834,112.056732,159.025192,32.65204081632653,1.9578389229707633,9.342857142857142
100000,99986.8,107.61555971742264,111.103058,159.978867,35.08714285714285,1.576657857621621,11.606122448979605
125000,125036.8,111.16824432440741,108.003616,154.018402,38.180612244897965,1.3615515172088075,13.214285714285708
150000,149972.9,111.31116016164772,112.056732,167.131424,39.564897959183675,0.6619734462479713,16.159183673469386
175000,174972.6,119.06636958646718,118.017197,194.072723,41.7604,0.5787670216124291,18.695999999999998
200000,200019.0,119.02666237431312,123.977661,198.841095,43.480199999999996,0.22977797624521576,22.055999999999997
225000,225053.1,114.84720719513383,123.023987,211.954117,44.8856,0.2184001196082506,25.896
250000,249948.7,116.78158749029288,129.938126,216.007233,46.1042,0.18769373664432742,29.352000000000004
300000,299995.2,119.35591385963203,137.805939,276.088715,48.44780000000001,0.18039966966800855,37.38400000000001
325000,324960.7,130.2666122754029,142.812729,327.110291,49.73560000000001,0.21703155041963618,41.808000000000014
350000,349869.6,139.28755670280535,144.004822,361.919403,50.68679999999999,0.19885837438042278,46.554000000000016
375000,374922.5,145.00341703886596,146.865845,405.83610520000275,51.585800000000006,0.25335374962486623,51.236000000000004
400000,400011.3,142.26515585342878,155.925751,559.2918395399992,52.43,0.23198346176098927,56.29199999999999
425000,424947.3,145.02544501696892,159.025192,693.1471820399975,53.014799999999994,0.2176051469979507,61.106
450000,450094.9,165.9567128911833,184.059143,824.928284,53.75599999999999,0.3467987712710382,65.10999999999999
475000,474990.9,183.57647102989506,213.861465,1197.6528169200017,54.398599999999995,0.2594500463106768,68.99
500000,499971.4,249.18785346313175,345.945358,2359.786033870011,54.760799999999996,0.3314522159053571,71.572
525000,525027.8,424.0907426344785,778.913498,6498.241424800036,54.935199999999995,0.2521356939492409,73.44
550000,550019.7,832.791084746,1918.077469,13270.587921239998,55.05659999999999,0.24298828392012917,75.058
