Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,21,0,0
50000,49972.6,104.97291991591312,103.9505,145.91217,33.7404,0.18608709832566456,5.0020000000000095
75000,74980.6,100.69004353243722,103.9505,146.78001427999942,35.6218,0.28746385753300396,7.649999999999977
100000,100007.1,105.91809122784338,107.049942,144.958496,37.5032,0.26025450651864807,10.463999999999984
125000,124996.8,112.98149454861755,110.149384,154.972076,39.3474,0.16311771134705763,13.511999999999986
150000,149932.2,108.67776542441752,117.063522,163.078308,41.0846,0.18559567640988017,16.930000000000007
175000,174905.6,107.05714377889306,113.964081,154.972076,42.5842,0.14437889494701936,20.572000000000003
200000,199982.7,108.82874510717231,118.017197,160.932541,44.1742,0.20534778860682756,24.675999999999988
225000,225008.9,129.80859551177187,123.023987,173.47335799999965,45.540200000000006,0.187708958393638,25.427999999999997
250000,250063.0,127.93627353049405,123.977661,179.94880656000046,46.889799999999994,0.24558543133018432,35.653999999999996
300000,299987.3,122.18258601822221,132.083893,198.76956939999974,49.5596,0.33461497825630776,45.376
325000,324992.8,114.64147827114867,132.083893,219.17343167999974,50.616800000000005,0.20814476908622787,50.314000000000014
350000,350039.0,160.8822632050947,142.097473,292.3679354400006,51.623400000000004,0.2917477943536235,54.802
375000,374941.8,140.16080965715614,150.918961,371.07706078999996,52.52139999999999,0.4045557402123666,60.178
400000,399966.8,160.47818482896193,174.045563,523.9677428099983,53.4258,0.30185203835857133,65.214
425000,425091.2,172.38604599264366,207.9486848000002,734.8203660400025,54.170399999999994,0.28344786800671345,69.946
450000,450148.9,202.3059201481001,272.035599,919.9500082300008,54.65080000000001,0.2931938134492233,74.618
475000,474880.5,228.32454138934426,375.032425,1400.1488684999981,55.055,0.18302726461332727,78.39599999999999
500000,499898.6,346.5167209668146,616.073608,2738.995551819999,55.195,0.278115010712607,81.022
525000,525079.5,479.10555513017806,955.1048276000008,4635.100364800004,55.4864,0.4848848380001682,83.574
550000,549876.3,640.7144551646552,1352.6439666000022,8523.025512840028,55.7472,0.41833020840635704,86.362
