Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,21,0,0
50000,49997.6,118.77392034823092,120.87822,162.98532498000014,28.44044444444445,1.5428500126765927,8.706666666666692
75000,75026.2,122.53982804168993,121.831894,177.99139044999984,32.41428571428571,1.1456839296536658,11.21020408163264
100000,100029.0,120.2733391512785,119.924545,170.946121,33.89122448979592,1.605762581886798,15.044897959183672
125000,125032.5,124.56972057576607,119.13776430000017,171.899796,36.46469387755102,0.5406828323241529,17.31836734693877
150000,149976.2,114.14604068981087,120.87822,176.12457267999983,39.64960000000001,0.5137575065244342,18.75200000000001
175000,175029.6,114.68261153434065,121.116638,185.012817,42.6628,0.43064280382910836,21.35600000000001
200000,199947.0,120.84230569845265,125.88501,204.086304,44.41079999999999,0.17910024555869153,25.489999999999995
225000,224907.5,121.47267246658002,128.984451,223.94418721999978,45.89679999999999,0.27306603821143677,29.536
250000,250027.3,122.01738255664519,135.89859,260.72979014000083,47.2534,0.2650961319666391,34.91199999999999
300000,300059.9,138.0672080672583,149.965286,353.08837923999977,49.741400000000006,0.34364201829039137,46.391999999999996
325000,324943.3,157.55317091177298,161.886215,450.134277,50.83918367346938,0.26038302503790645,52.0530612244898
350000,349922.3,154.44902792094493,175.2138140999999,524.9404905399988,51.7548,0.36411615101306816,57.92
375000,374899.4,168.93478592600752,191.926956,633.6498264799993,52.718199999999996,0.2746254592297356,63.68
400000,400020.2,171.6919989034118,207.901001,726.7951962000029,53.616800000000005,0.2818701394440424,68.48400000000001
425000,424965.4,191.28608827922136,262.975693,933.189391759997,54.0308,0.36474671110964973,72.654
450000,450028.4,210.13391228911152,336.885452,1140.0222780000108,54.6828,0.22216044946417116,76.44399999999999
475000,474904.0,280.25048627071317,475.7404328000008,1835.6180193800099,55.047399999999996,0.2606335295672713,79.438
500000,500142.0,380.9884105981587,724.649429200002,2949.8291018399973,55.22339999999999,0.3102244743565473,81.95400000000001
525000,525139.3,481.62329250619325,994.0147398000001,4352.383613300048,55.533,0.4072618873623697,84.306
550000,550022.6,672.8207251025158,1335.6447222000004,8237.347602430002,55.9344,0.33190950327965446,86.674
