Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,36,0,0
150000,149924.7,87.64537328898876,96.082687,169.038773,73.87640000000002,0.2716296999180156,4.4879999999999995
250000,249980.3,101.44400427376556,114.917755,202.894211,84.0516,0.34300211220864585,7.88600000000001
350000,349965.4,141.4329600568782,137.090683,253.915787,92.7632,0.2610140351218923,11.684000000000012
450000,450044.9,125.30960530169281,145.91217,245.094299,100.34020000000001,0.4241942662391883,15.540000000000006
550000,549965.5,123.91700069210258,154.972076,258.08334363999904,106.65320000000001,0.42814950659787093,20.439999999999998
650000,650024.0,117.70486046693814,165.224075,267.028809,112.37139999999998,0.4723411513570522,24.226
750000,750208.3,138.3237699527854,178.098679,303.030014,117.0776,0.5525471999415665,28.292
850000,850086.1,144.14550490043587,192.88063,340.938568,121.5236,0.7265680017895699,32.67
950000,949877.0,158.01168070008148,205.039978,398.874283,129.0494,0.8506957776564134,35.63199999999999
1050000,1050176.7,171.91654814923436,240.087509,703.09639,133.46760000000003,0.6539161776152507,39.056000000000004
1150000,1149752.2,224.8918730097284,296.115875,1646.4900974399995,136.1738,0.5666762744283552,42.316
1250000,1249989.4,336.7503954634323,540.018082,3581.3808443499915,138.34799999999998,0.6470939748173369,45.01200000000001
