Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,36,0,0
200000,199891.2,94.79176521270385,107.049942,188.827515,78.9716,0.37113922795982124,6.250000000000014
250000,167464.2,95.02712030388831,113.964081,201.940536,84.86059999999999,0.22258600722472413,8.079999999999984
300000,300054.4,108.54072670032437,123.977661,216.14074735999947,89.888,0.21331207377062983,10.127999999999986
350000,350089.4,112.20763562110525,129.938126,226.020813,95.11319999999999,0.3579501732512666,11.955999999999989
450000,450005.2,115.39836396997003,146.150589,243.24417140000125,101.63399999999997,0.41103651955533455,16.14399999999999
500000,499986.4,114.64987724039008,150.918961,247.955322,106.0068,0.40316826891662094,18.378000000000014
550000,367456.1,124.91732472780198,153.779984,255.10788,109.7272,0.461497296960709,20.689999999999998
600000,600059.0,118.10586925395845,160.932541,262.975693,113.32440000000001,0.42414456526625305,23.00200000000001
700000,699827.9,130.00022053090237,174.045563,293.970108,116.82140000000001,0.5275279661800315,27.97399999999999
800000,799865.9,130.52027678153897,195.980072,347.46170065999667,121.51719999999999,0.8026792888920988,33.748000000000005
850000,849827.5,142.00583674146569,207.901001,403.881073,128.84240000000003,1.0160057046280464,35.39200000000001
900000,899896.2,167.6359502850317,238.180161,602.960587,132.56799999999998,0.6085278321071099,38.611999999999995
950000,949979.2,257.5597432029713,389.3136978000021,2032.5613021200018,133.6634,1.50217476360381,45.576
1050000,952799.6,26300.94185765456,36119.508743599996,51429.44335967989,113.27699999999999,0.6663983303504574,94.45
1150000,954442.1,26402.900841197603,36015.033722,51157.414912950015,112.78340000000001,0.9126203806532447,94.128
1250000,952200.5,26464.55745259071,36042.2611235,51600.65889388002,112.7676,0.4821404656025346,94.412
