Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,36,0,0
200000,200097.5,100.1277776220747,105.142593,187.158585,78.4958,0.28036484975758236,5.956000000000017
250000,250029.1,108.28746400434885,113.964081,205.993652,84.1038,0.26473621834974237,7.599999999999994
350000,350054.8,145.70711276343474,138.998032,256.061554,91.93259999999998,0.2979851386514812,11.165999999999983
450000,450179.3,137.00169772547002,148.057938,252.008438,99.4132,0.4543730374294414,14.783999999999992
500000,499988.9,143.34886906250208,151.872635,263.03052913999903,103.6252,0.43303032839066036,16.664
600000,599967.6,136.02315741474231,162.124634,273.942947,108.40899999999999,0.46568032303856915,20.659999999999997
650000,650104.8,118.83608591921711,164.985657,270.843506,112.2442,0.270283977644678,22.787999999999997
700000,700171.1,135.39554349695288,173.091888,292.062759,115.5182,0.5539420510471906,24.646
750000,750014.6,135.84938701094566,179.052353,301.122665,118.0734,0.17998423967284602,26.75200000000001
850000,849829.1,136.1407353880642,190.019608,327.825546,120.38860000000001,0.5274621951826871,30.923999999999992
900000,899753.7,140.03259189393304,200.986862,345.945358,123.47840000000001,0.6680259068665657,32.900000000000006
950000,949998.4,153.88543988434722,211.954117,396.01326,125.9426,0.6351917917014492,34.822
1000000,999931.7,155.06885433797862,218.868256,426.0444642599981,130.6372,1.1082253509875273,36.15200000000001
1200000,1200212.2,215.7807687721171,308.036804,1547.8849414000008,136.24360000000001,0.7244611227438964,42.16800000000001
1250000,1250031.2,290.5317950550355,400.066376,2780.6878088499952,138.41359999999997,0.5296235089424267,43.45000000000001
