Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,36,0,0
200000,200038.0,97.46208377777779,105.142593,186.66267401999957,79.23639999999999,0.41677948948711807,6.4979999999999905
250000,250001.4,100.3053197089573,113.010406,199.91397849999998,85.6356,0.26536966899871944,8.449999999999989
300000,299932.7,144.68181883888062,126.004219,226.020813,91.48540000000001,0.29747378550256254,10.757999999999996
400000,400081.2,138.39668995110117,147.104263,266.075134,99.615,0.45504541150374445,16.57799999999999
450000,449815.5,162.73088614172715,169.038773,702.2142406499955,104.89699999999999,0.44293202131952913,22.415999999999997
500000,499971.9,10651.972461047157,26601.4575962,45899.16229204,103.87280000000001,0.35233356180686215,87.964
600000,510681.9,47639.141452986616,63919.92568980001,90868.12973051977,101.5996,0.4303579905148737,95.166
650000,511049.4,47745.19639851228,63865.6854632,90529.20341526,102.6426,0.32066773445167107,95.23
750000,511578.8,47620.52296703289,63476.943969600004,87699.60641841013,101.6058,0.41884725188087657,95.346
800000,511475.9,48115.15078009355,63996.076583999995,91418.21861234991,102.6494,0.23845942623260669,95.23
900000,513212.1,47454.16842790725,63445.6634522,87732.61070276005,101.39520000000002,1.2749361568649757,94.932
1000000,510985.7,48234.888347302935,63879.776000800004,90208.18710336,101.3158,0.3784506006638874,95.336
1100000,511877.5,47875.410822668004,63856.7686084,87839.77985405007,101.1642,0.4268636928164519,95.378
1200000,511459.0,47811.95356659946,63501.16729760002,89027.29988113993,101.23780000000002,0.4271705198878132,95.264
1250000,512306.7,47769.13494026615,63535.0942615,88308.274746,102.33200000000001,0.5323839338872127,95.296
