Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,15.23,0,0
50000,49980.8,85.70446861622379,100.851059,184.059143,22.782799999999998,0.06845346997063334,6.917999999999992
75000,75031.6,89.30074376716219,113.010406,200.033188,23.7212,0.08070202182430523,10.893999999999991
100000,100020.5,95.46371478707216,126.123428,214.099884,24.431600000000003,0.06409049724206142,15.007999999999996
125000,124983.8,100.23489809959165,140.90538,229.120255,25.250999999999998,0.07074674579665347,19.646
150000,150025.4,105.0872295797923,150.918961,247.001648,25.8996,0.0993234255205834,24.448000000000008
175000,175088.0,108.92477921576373,156.879425,254.869461,26.533599999999996,0.12188586163007634,29.337999999999994
200000,199954.1,114.03093096043676,166.893005,270.843506,27.2254,0.12736273122904684,34.376000000000005
225000,225072.8,120.06717079286257,174.999237,285.148621,27.780400000000004,0.18188312012871086,39.838
250000,249980.5,126.51366404359361,186.920166,312.08992,28.3334,0.1802448448129171,45.053999999999995
300000,300057.0,141.28986313275146,211.000443,375.986099,29.0508,0.3709163501053981,55.654
325000,324962.9,152.4120610959327,228.16658,471.02212898000016,29.5396,0.37216937114212745,60.79599999999999
350000,350198.3,160.55826018915906,241.994858,518.083572,30.053800000000003,0.420931377411801,65.27799999999999
375000,375008.9,170.51784523299017,254.869461,554.5830731000044,30.546200000000002,0.3845266902442584,69.25800000000001
