Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,15.23,0,0
50000,49975.4,84.30184406614018,99.182129,178.098679,23.055799999999998,0.05139244763065238,7.1640000000000015
75000,74945.4,90.09215628281434,113.010406,198.841095,23.9192,0.07110899940175183,11.339999999999975
100000,99967.8,96.41492451305983,127.077103,220.060349,24.889200000000002,0.0898261359175465,15.792000000000002
125000,124958.3,101.62981507541096,140.90538,232.2840690399975,25.643799999999995,0.05798979502059504,20.545999999999992
150000,149972.9,105.64942215283098,150.918961,242.948532,26.2832,0.0650412741798527,25.671999999999997
175000,175062.2,110.74756230400732,159.978867,258.9821815,26.9318,0.08911560938878617,31.00399999999999
200000,200102.4,116.04336202021422,167.84668,273.942947,27.697000000000003,0.12008925252256587,36.518
300000,300087.8,150.440361806667,229.120255,463.008881,29.483,0.25576815075137016,59.354000000000006
325000,325080.9,162.66223170665165,250.816345,538.6042596400017,29.98839999999999,0.34185185954964614,64.498
350000,349906.6,170.61810305249475,267.982483,550.031662,30.676200000000005,0.45841292320708565,68.368
375000,374867.1,190.10314405878287,306.129456,694.7898864600008,31.156799999999997,0.4871677412999194,73.044
400000,399948.9,199.94882454369318,323.057175,793.3330533800025,32.20142857142857,0.49212125876996327,75.38979591836734
425000,425089.5,226.9295573191004,384.092331,989.1128535600034,32.78,0.509048732681752,78.984
450000,449984.4,274.55158942103833,498.056412,1387.9108430300018,33.388000000000005,0.46868465530935466,81.702
475000,474774.3,340.66490356439016,676.870346,1866.9700624799964,34.0556,0.3682953561854334,84.13
500000,500040.0,329.6135085341882,638.961792,1908.063889,34.684200000000004,0.5630568536197417,84.03999999999999
