Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,15.23,0,0
50000,50003.3,82.8,99.0,179.0,22.75408163265306,0.07812698977057934,7.053061224489809
75000,74981.3,88.5,112.4,202.4,23.638599999999997,0.06549684522703271,11.756
100000,100013.7,93.5,126.2,216.3,24.4074,0.07447256719964838,15.64200000000001
125000,125011.4,100.0,142.0,236.8,25.221,0.08102027964828135,19.055999999999997
150000,150042.1,104.9,152.4,248.7,25.9346,0.0904232677298205,23.842
175000,175010.2,108.2,157.6,259.2,26.5112,0.11718884114878796,28.62599999999999
200000,199963.3,113.5,167.5,270.8,27.25,0.1290309249437388,33.54199999999999
225000,225092.4,118.3,174.4,285.2,27.7202,0.13307186948780575,38.92800000000001
250000,249943.5,125.5,186.9,308.7,28.312,0.17237832147426702,40.681999999999995
300000,299998.1,139.6,208.0,374.9,29.019799999999996,0.2621145566662149,55.604000000000006
325000,324979.4,148.7,223.9,425.2,29.447599999999998,0.38307861398125065,59.91400000000001
350000,350176.9,158.1,237.2,482.2,30.029400000000006,0.42624324759748283,63.904
375000,374993.3,166.6,250.0,515.0,30.512800000000002,0.5465813605250999,67.588
400000,400034.1,179.2,268.7,626.8,30.947999999999997,0.4952303112941393,71.764
425000,424945.8,189.5,281.5,782.3,31.7766,0.48627954503389015,74.362
450000,449974.0,212.2,304.0,1222.6,32.258399999999995,0.39973644378489653,77.444
475000,475008.5,253.6,347.3,2180.8,33.13320000000001,0.4304930253766712,79.574
500000,499889.9,339.5,456.8,3767.6,33.68920000000001,0.489246984911403,81.902
525000,525070.1,397.2,559.3,4713.5,34.65540000000001,0.46183401029073706,82.068
550000,549920.6,382.4,511.3,4650.4,35.1638,0.537905575508625,82.49
575000,574927.3,432.2,650.7,5071.4,35.9634,0.4795900034702262,83.282
600000,600129.7,401.8,565.7,4918.0,36.982600000000005,0.5140745995257412,82.904
