Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,15.23,0,0
50000,49998.0,84.61816034921954,100.851059,181.72740943999983,22.954,0.06067645880455794,7.463999999999999
75000,75073.8,90.41087343310679,114.202499,200.033188,23.809799999999996,0.056945731416240535,12.808000000000007
100000,99932.4,96.38021418239867,129.938126,226.9268033000007,24.716600000000003,0.06557780859095415,16.47
125000,124911.5,101.39025141901085,148.773193,236.988068,25.5152,0.048201956095459186,21.297999999999988
150000,150025.4,107.32771508641405,155.925751,252.962112,26.231399999999997,0.07414849964766665,26.623999999999995
175000,175049.5,111.60457971681745,165.224075,269.1268921999998,26.9352,0.08746404509096001,32.646
200000,200045.3,121.84750076193087,180.959702,315.5517576199992,27.638799999999996,0.1222516641512708,39.02799999999999
225000,224950.7,131.74064272495818,202.894211,349.998474,28.2678,0.13410763267934145,45.474000000000004
250000,250064.8,144.7236356612621,226.974487,439.167023,28.773600000000002,0.1965390338755503,52.47800000000001
300000,300073.6,221.4237341383572,385.99968,1144.621372329993,29.767599999999998,0.2902255280688748,66.55199999999999
325000,324968.3,330.5150211854787,667.095184,1899.3759153199976,30.167999999999992,0.4209658476622054,72.98400000000001
350000,349972.2,740.6491492854362,1762.0801926000001,4631.04248,30.548399999999997,0.601916530927737,78.75
375000,375109.2,4278.847874285661,12312.889099,18358.23059080002,31.1854,0.7672697686988483,81.41
400000,400007.2,9370.66209867195,17184.972763,21409.8453522,32.36279999999999,1.0499096948532947,82.63
450000,418094.2,15261.128452630966,20199.06044,22858.7388991,33.092800000000004,1.0885340076057732,83.006
475000,410937.9,15560.737936772979,20585.536956600004,23168.087006,32.525200000000005,1.3210080257445953,83.074
500000,417204.2,15362.33068055869,20280.4565432,22992.8922652,32.8416,0.9723574550586646,83.134
