Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,15.23,0,0
50000,50007.0,85.0,102.3,184.9,22.821800000000003,0.05153520690770948,7.489999999999995
100000,100018.4,94.9,127.0,219.0,24.604599999999994,0.14483220410854342,16.07199999999999
150000,150018.4,105.2,151.3,247.6,26.0454,0.09258663896203224,25.689999999999998
200000,200008.5,114.4,167.8,273.0,27.348,0.12212405870378566,36.146
300000,300045.3,141.0,212.0,403.2,29.196200000000005,0.3051723500995892,58.19200000000001
350000,350068.3,159.0,239.4,506.3,30.311400000000003,0.383368581638813,67.446
400000,400137.4,181.5,272.9,683.2,31.82260000000001,0.5509428282499013,73.77199999999999
450000,450118.5,245.5,343.2,2086.8,33.0668,0.5949633499259448,79.416
500000,500023.8,348.8,471.0,4158.2,35.153,0.6300931256082509,80.904
550000,549910.1,394.0,559.0,4957.1,37.0212,0.6010590653172115,81.376
600000,599847.0,400.8,605.6,4857.3,38.9888,0.6544062272045412,82.096
650000,650060.5,440.0,701.6,5302.7,41.1694,0.5813299670688282,82.642
700000,699965.9,444.8,780.3,5170.0,43.3612,0.5345669237040085,83.226
750000,749904.6,489.0,944.4,5590.3,46.258,1.1220171339955518,83.482
800000,799953.9,532.8,1129.5,6134.1,48.74100000000001,1.5145623062759213,84.334
850000,850204.1,563.4,1336.5,6091.5,52.23219999999999,0.5272620461460533,85.284
900000,899951.7,730.4,2125.7,7125.3,53.65079999999999,0.44019402030264343,86.736
950000,949848.5,795.7,2335.5,7692.0,55.12,0.3506204413287264,87.52
1000000,999684.5,877.8,2645.8,8188.4,56.52219999999999,0.3185828953733861,88.078
1050000,1049917.1,998.5,3050.9,8671.4,57.85,0.16851088501146438,88.848
1100000,1099815.2,1084.2,3313.6,8928.6,59.3024,0.23129237615041773,89.654
1150000,1150173.5,1171.2,3609.1,9812.1,62.739000000000004,0.5014804612955767,88.852
1200000,1199951.1,1268.7,3817.7,10838.9,66.8594,0.3304567649018361,88.46600000000001
1250000,1249635.4,1508.6,4338.5,11158.6,67.6362,0.20434954047875253,90.876
1300000,1299736.2,1993.2,5092.4,12109.9,67.97139999999999,0.19992866074616553,93.486
1350000,1349655.4,2684.3,5806.0,13148.0,68.39600000000002,0.24704787605082873,95.766
1400000,1396487.7,4089.7,6684.2,14935.3,68.6006,0.26350394025633245,98.326
1450000,1417297.5,4788.4,7088.2,16212.5,68.6426,0.27885194667290003,98.894
1500000,1421176.6,4892.0,7044.3,16243.5,68.64580000000001,0.293098089034914,98.968
