Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
0,0,0,0,0,15.23,0,0
50000,50006.6,83.7,100.6,182.0,22.719799999999996,0.04718569482288397,6.8700000000000045
100000,100053.3,93.8,126.9,221.4,24.392199999999992,0.06813222438758344,14.783999999999992
150000,149962.5,104.8,151.7,247.7,25.8306,0.08165157433777223,23.998000000000005
200000,200040.7,114.0,167.8,273.1,27.032600000000002,0.12660093174367754,33.70399999999999
250000,249943.1,124.4,184.9,302.8,28.180800000000005,0.16196295872822267,44.275999999999996
300000,300100.3,139.8,210.5,360.4,28.8994,0.29835200412825613,54.39
350000,350134.0,156.6,236.5,477.0,29.902200000000004,0.3485555616997621,63.773999999999994
400000,399946.6,177.6,262.3,613.8,31.112799999999996,0.41852530218784695,71.034
450000,449990.5,211.8,306.9,1202.2,32.193599999999996,0.4215460368980946,77.664
500000,500027.8,341.0,455.7,3962.4,33.5496,0.42412916784914534,82.026
550000,550171.6,373.6,506.1,4453.1,35.074600000000004,0.5556948582722386,82.48400000000001
600000,600222.9,402.6,580.8,4659.4,36.8472,0.5244201462529053,82.848
650000,649935.9,429.7,642.6,5126.3,38.9792,0.5127231818676525,82.89
700000,700139.8,457.3,742.5,5301.3,40.948,0.5017357626382674,83.49
750000,750002.6,477.9,861.7,5381.1,43.1414,0.6302316062774228,84.194
800000,799984.1,490.0,923.0,5424.8,45.456,0.6530399868995741,84.538
850000,850237.0,491.1,948.4,5357.5,49.421800000000005,1.469904467255319,84.82
900000,899951.6,534.1,1155.4,5654.9,51.84619999999999,0.31563276258387113,86.28399999999999
950000,949798.3,654.9,1735.3,6449.7,53.3504,0.42799942780812356,87.242
1000000,1000120.4,689.9,1868.2,6749.8,54.888000000000005,0.24872737308637494,88.068
1050000,1049926.4,750.1,2142.4,7060.2,56.24139999999999,0.3407016170151451,88.508
1100000,1099993.5,830.5,2481.5,7490.3,57.49700000000001,0.17671896286684932,89.238
1150000,1149923.5,1039.8,3188.5,8739.5,58.8698,0.17257343896652996,90.054
1200000,1200048.7,954.4,2993.8,8533.4,63.4146,0.5321163368271714,87.764
1250000,1250141.3,1031.5,3215.7,9268.9,66.74380000000001,0.2180422164702638,87.876
1300000,1299889.3,1241.8,3733.7,9475.7,67.2466,0.3272682853749265,90.482
1350000,1349652.9,1578.3,4325.7,10637.1,67.7444,0.16518585698218471,93.228
1400000,1399644.5,2120.0,5010.9,11301.7,68.0438,0.127437699865223,95.732
1450000,1448586.5,3250.8,5881.6,13546.2,68.398,0.2685106314164745,98.19
1500000,1479292.1,4445.5,6319.3,15038.4,68.47019999999999,0.30561740788116093,99.27
