Rate,QPS,Avg_Latency,P90_Latency,P99_Latency,Power,StdDev,Util
50000,50042.0,84.2,101.2,182.0,22.918799999999997,0.05442238435025919,7.555999999999983
100000,99985.4,95.3,126.9,217.5,24.639399999999995,0.056366511986013286,15.893999999999991
150000,150070.3,105.4,152.7,249.6,26.076999999999998,0.09459365297774183,25.78
200000,199930.8,113.9,166.4,271.4,27.492599999999996,0.09456258050969758,36.166
250000,249980.9,126.0,187.3,317.1,28.523200000000003,0.1574729001628988,47.63399999999999
300000,299946.9,141.0,211.8,389.9,29.271400000000003,0.2814177662900361,58.20399999999999
350000,349957.7,159.4,238.1,467.9,30.416,0.4737389274997056,67.126
400000,400010.5,181.2,267.5,652.0,31.7444,0.4903191796770586,74.20400000000001
450000,450084.3,241.8,334.6,1944.9,33.412200000000006,0.6040147653283767,78.788
500000,499938.5,352.2,480.3,4199.4,35.1278,0.64667845209823,81.126
550000,550063.6,385.8,546.5,4575.7,36.8976,0.6752854574027133,81.576
600000,599976.2,425.2,628.6,5235.2,39.0206,0.512371078856896,82.128
650000,650041.4,446.0,728.8,5284.8,40.88120000000001,0.6109097932675535,82.86
700000,699973.1,495.1,841.1,6244.5,43.4102,0.49977746068033285,83.22200000000001
750000,749929.9,525.4,995.4,6167.9,45.767599999999995,0.6946752581499603,83.804
800000,800066.6,514.6,963.0,6017.0,50.44820000000001,1.2272695593994707,83.702
850000,850087.5,584.7,1324.7,6565.4,52.1958,0.6044396629296002,85.324
900000,899900.6,771.4,2186.8,7875.1,53.5206,0.4014941990075754,86.888
950000,950174.6,853.5,2491.5,8425.3,55.17099999999999,0.2882406166056831,87.346
1000000,1000124.1,904.7,2688.7,8444.5,56.556599999999996,0.2691756880188258,88.054
1050000,1050024.0,1043.5,3142.7,9213.0,57.762,0.2132355217948031,88.716
1100000,1099736.2,1137.5,3419.5,9502.4,59.11659999999999,0.3161865246454167,89.596
1150000,1150067.1,1220.4,3733.2,10388.6,62.651,0.6084179887047984,88.826
1200000,1199601.9,1263.9,3904.7,10257.1,66.17,0.33703993586420394,88.818
1250000,1249649.7,1595.3,4512.8,11787.4,67.4186,0.33647639939071294,90.854
1300000,1299600.3,1942.0,5039.2,12235.3,67.88619999999999,0.14548848050338387,93.078
1350000,1349593.6,2551.3,5670.4,12921.1,68.3026,0.2124762651810933,95.542
1400000,1397721.7,3922.0,6785.8,15779.4,68.59360000000001,0.2905431928969856,98.054
1450000,1421959.7,4755.1,7039.6,16394.7,68.5266,0.27973464102208595,98.826
1500000,1428890.4,4874.7,7129.7,16384.2,68.65400000000001,0.32660904670225416,98.972
