qps,op,samples,files,p50,p90,p95,p99,p99.9,p99.99
10000,ALL,25644339,104,0.74,1.26,1.81,96.25,123.9,142.34
10000,GET,25230627,104,0.74,1.26,1.81,96.25,123.9,142.34
10000,SET,413712,104,0.82,1.36,1.69,53.76,129.53,140.29
30000,ALL,77084539,104,1.25,2.24,2.7,88.06,119.81,140.29
30000,GET,75846319,104,1.25,2.24,2.7,88.06,119.81,140.29
30000,SET,1238220,104,1.21,1.98,2.29,3.29,81.92,147.46
50000,ALL,127218263,104,1.38,2.48,3.02,78.85,120.32,147.46
50000,GET,125171493,104,1.37,2.48,3.02,79.36,120.32,147.46
50000,SET,2046770,104,1.43,2.53,2.98,4.45,84.48,152.57
70000,ALL,178372355,104,1.47,2.58,3.01,80.89,125.44,152.57
70000,GET,175501312,104,1.47,2.58,3.01,81.92,125.95,152.57
70000,SET,2871043,104,1.49,2.56,2.9,4.22,88.06,136.19
90000,ALL,230846352,104,1.64,2.69,3.06,79.87,124.42,151.55
90000,GET,227134694,104,1.64,2.69,3.06,80.38,124.42,152.57
90000,SET,3711658,104,1.67,2.65,2.91,3.76,84.48,145.41
100000,ALL,266856398,110,1.6,2.67,3.21,77.82,123.9,152.57
100000,GET,262378225,110,1.6,2.67,3.21,78.85,123.9,152.57
100000,SET,4478173,110,1.64,2.64,3.09,5.6,84.99,145.41
200000,ALL,536718653,110,2.13,3.01,4.0,74.75,120.32,147.46
200000,GET,527706297,110,2.13,3.01,4.0,75.78,120.83,147.46
200000,SET,9012356,110,2.16,3.17,4.42,5.86,78.33,128.51
300000,ALL,897951828,128,1.59,4.67,7.17,72.19,119.81,146.43
300000,GET,881201408,128,1.59,4.64,7.13,72.7,119.81,146.43
300000,SET,16750420,128,1.74,5.95,7.49,10.05,73.22,125.95
